Wall time,Step,Value
1752431997.0474887,2500,-18.566333770751953
1752432007.7330039,10000,-12.035932540893555
1752432011.8815544,12500,-19.68381690979004
1752432038.5189734,27500,-11.95516586303711
1752432043.8520243,30000,-18.452302932739258
1752432060.9234622,37500,-16.525693893432617
1752432066.4442134,40000,-9.620306015014648
1752432081.1855452,47500,-9.967574119567871
1752432088.5225954,50000,-8.747394561767578
1752432095.3972967,52500,-6.620937824249268
1752432103.1253211,57500,-2.475545883178711
1752432108.1918566,60000,-1.8808780908584595
1752432124.2235427,67500,21.97797203063965
1752432131.4587727,70000,9.2625093460083
1752432170.6268017,85000,99.31072998046875
1752432192.6470346,92500,119.28277587890625
1752432199.3756893,95000,138.75497436523438
1752432205.8636346,97500,202.47683715820312
1752432212.1589081,100000,130.26303100585938
1752432219.812134,102500,117.56926727294922
1752432265.1170127,120000,416.6651611328125
1752432270.4883883,122500,442.4710693359375
1752432275.662202,125000,300.77899169921875
1752432287.112647,130000,268.2818603515625
1752432292.7306726,132500,616.9740600585938
1752432304.1248446,137500,350.25885009765625
1752432322.0971332,145000,320.489501953125
1752432338.5602741,152500,496.96905517578125
1752432343.9771214,155000,314.3353576660156
1752432349.136752,157500,147.54689025878906
1752432355.6158636,160000,229.6589813232422
1752432366.2372441,165000,97.97089385986328
1752432372.096419,167500,115.42057800292969
1752432378.1267338,170000,120.32486724853516
1752432383.6430614,172500,84.51448059082031
1752432393.6117818,177500,106.12540435791016
1752432399.441136,180000,103.8153076171875
1752432431.830049,195000,66.94186401367188
1752432441.6909266,200000,90.31139373779297
1752432446.7503405,202500,79.7375259399414
1752432456.3550138,207500,97.83145141601562
1752432461.519096,210000,90.91542053222656
1752432470.2875712,215000,94.78694152832031
1752432486.8725584,225000,117.51358032226562
1752432490.7007842,227500,111.34927368164062
1752432517.967988,240000,79.054443359375
1752432540.1613843,250000,95.9351806640625
1752432545.3578012,252500,112.68295288085938
1752432561.6884177,260000,96.98297119140625
1752432577.9134781,267500,88.95384216308594
1752432584.3839746,270000,85.51073455810547
1752432596.1614473,275000,84.90079498291016
1752432623.7769349,287500,92.84294891357422
1752432636.1681075,292500,91.69339752197266
1752432664.2500956,305000,107.54287719726562
1752432685.6606295,315000,99.17842102050781
1752432690.9310172,317500,102.29039001464844
1752432700.9301186,322500,104.82330322265625
1752432710.6899517,327500,96.47647857666016
1752432717.0625858,330000,109.71744537353516
1752432723.134147,332500,100.59447479248047
1752432745.4236715,342500,100.72509765625
1752432750.768526,345000,105.7678451538086
1752432782.4908764,360000,85.52207946777344
1752432788.0132027,362500,96.7666244506836
1752432798.4440403,367500,95.9085693359375
1752432804.482029,370000,104.31336975097656
1752432819.6957486,377500,106.27752685546875
1752432859.7329662,395000,122.67703247070312
1752432872.2842789,400000,125.41499328613281
1752432876.5245347,402500,118.55252075195312
1752432886.7510629,407500,121.9479751586914
1752432897.1219752,412500,124.14447021484375
1752432907.6796489,417500,128.24462890625
1752432928.0198395,427500,132.5697784423828
1752432934.0917625,430000,133.26890563964844
1752432939.536848,432500,147.49351501464844
1752432954.7533245,440000,141.86045837402344
1752432959.9960375,442500,148.84063720703125
1752432965.9394076,445000,154.0261688232422
1752432970.73035,447500,157.69126892089844
1752432981.3150485,452500,154.33038330078125
1752432985.4345329,455000,162.30136108398438
1752433000.2906995,462500,160.9066619873047
1752433004.7305157,465000,176.45240783691406
1752433009.7634232,467500,172.6640625
1752433025.4356065,475000,192.01560974121094
1752433031.9337916,477500,200.36058044433594
1752433037.3867366,480000,193.0072021484375
1752433042.801257,482500,190.0557098388672
1752433060.27658,490000,211.12255859375
1752433081.104712,500000,244.5221710205078
1752433085.8865454,502500,258.73846435546875
1752433096.5937867,507500,259.4656066894531
1752433102.084518,510000,270.1036071777344
1752433107.433862,512500,254.84857177734375
1752433111.9596837,515000,255.2017822265625
1752433123.300759,520000,256.7696228027344
1752433133.1620693,525000,265.74298095703125
1752433143.3514693,530000,285.0966796875
1752433156.0501306,535000,298.1410827636719
1752433166.7107508,540000,321.0010681152344
1752433172.4686925,542500,295.15283203125
1752433183.2849696,547500,318.8747863769531
1752433189.2342074,550000,310.0200500488281
1752433194.2068455,552500,297.4409484863281
1752433198.7640257,555000,325.70086669921875
1752433203.176618,557500,331.3836975097656
1752433216.5560913,562500,319.97332763671875
1752433221.899366,565000,313.01806640625
1752433239.5727012,575000,352.51226806640625
1752433273.3467088,590000,371.5040283203125
1752433281.5511284,595000,376.64337158203125
1752433287.7890751,597500,374.4462585449219
1752433293.1853118,600000,353.37109375
1752433302.3289168,605000,351.7113342285156
1752433306.9205806,607500,322.2300720214844
1752433317.0582995,612500,347.51190185546875
1752433322.8727212,615000,346.5640563964844
1752433328.019467,617500,342.9997253417969
1752433334.3546007,620000,355.67767333984375
1752433362.3344607,632500,341.072021484375
1752433367.22015,635000,339.3899230957031
1752433371.3660553,637500,343.31280517578125
1752433388.9027443,645000,355.3370361328125
1752433393.9885602,647500,369.52899169921875
1752433399.3530543,650000,345.587890625
1752433404.2621832,652500,358.3781433105469
1752433414.4159636,657500,353.2996826171875
1752433453.29223,677500,392.3849182128906
1752433459.0638795,680000,372.0130310058594
1752433476.9677186,687500,392.0708312988281
1752433483.9290223,690000,397.9617614746094
1752433489.1902635,692500,409.5265808105469
1752433500.1358588,697500,372.30926513671875
1752433511.0167632,702500,387.4793395996094
1752433519.7564228,707500,402.5498046875
1752433523.4209347,710000,390.39727783203125
1752433534.8046474,715000,435.82861328125
1752433546.202348,720000,439.3919982910156
1752433551.7885501,722500,444.4224548339844
1752433561.679084,727500,434.39520263671875
1752433586.533285,740000,465.29644775390625
1752433590.2808511,742500,466.6366271972656
1752433593.5259914,745000,489.2785949707031
1752433599.0016448,747500,493.4051513671875
1752433632.5268307,762500,508.13104248046875
1752433639.3566911,767500,540.6517944335938
1752433649.592915,772500,572.4800415039062
1752433655.125929,775000,572.7177124023438
1752433671.6079738,782500,544.0151977539062
1752433677.1203215,785000,555.24853515625
1752433692.926172,792500,556.3265380859375
1752433702.9335005,797500,512.7536010742188
1752433708.9580271,800000,545.044189453125
1752433724.849623,807500,533.2730102539062
1752433735.0444207,812500,447.10137939453125
1752433760.3443325,825000,486.3431091308594
1752433766.1332045,827500,474.48712158203125
1752433771.15885,830000,469.9462890625
1752433777.4045715,832500,499.20843505859375
1752433806.3213418,845000,431.9000244140625
1752433812.9775386,847500,427.4088439941406
1752433824.1890175,852500,436.2740478515625
1752433840.192938,860000,460.2035217285156
1752433845.4557097,862500,421.1655578613281
1752433851.784464,865000,438.1388854980469
1752433857.4589682,867500,424.79327392578125
1752433869.858223,872500,426.3169860839844
1752433881.313194,877500,461.0561218261719
1752433893.336032,882500,414.53533935546875
1752433898.3135612,885000,389.4906005859375
1752433903.6931791,887500,437.3487548828125
1752433929.2074614,897500,407.75201416015625
1752433939.664477,902500,444.78204345703125
1752433950.7044685,907500,428.076416015625
1752433956.9630234,910000,439.0473327636719
1752433961.9209886,912500,458.21075439453125
1752433967.4555757,915000,465.7587890625
1752433972.3352902,917500,461.2320861816406
1752433978.2396646,920000,440.74169921875
1752433983.3140368,922500,423.7408447265625
1752434017.0000699,937500,429.30303955078125
1752434035.2221036,945000,428.0870666503906
1752434042.1146235,947500,444.36663818359375
1752434086.650019,965000,514.5358276367188
1752434092.4439824,967500,494.18096923828125
1752434117.4977882,977500,526.4735717773438
1752434124.723995,980000,503.81011962890625
1752434130.516492,982500,505.9810791015625
1752434135.656981,985000,556.0032348632812
1752434141.9969473,987500,563.607666015625
1752434149.4821577,990000,532.6707153320312
1752434155.7767475,992500,545.336181640625
1752434161.8333418,995000,538.3402099609375
1752434167.675241,997500,567.4741821289062
1752434174.1458435,1000000,554.2904663085938
1752434186.482849,1005000,545.2162475585938
1752434193.0881624,1007500,547.4102783203125
1752434205.5811863,1012500,583.5390014648438
1752434232.143566,1022500,727.541015625
1752434237.573535,1025000,698.7119750976562
1752434256.1199853,1032500,669.9453125
1752434262.3435977,1035000,676.2499389648438
1752434268.1136189,1037500,620.928466796875
1752434274.197363,1040000,654.772216796875
1752434292.1440914,1047500,553.2290649414062
1752434310.3994262,1055000,580.670166015625
1752434315.2618928,1057500,624.26123046875
1752434330.6976373,1065000,636.90576171875
1752434336.8470943,1067500,620.7316284179688
1752434358.7366688,1077500,578.866455078125
1752434364.9452288,1080000,604.5493774414062
1752434380.0497773,1087500,561.8358154296875
1752434385.0151072,1090000,565.9779663085938
1752434389.6449938,1092500,553.4747924804688
1752434394.1573553,1095000,543.08935546875
1752434398.685781,1097500,594.1721801757812
1752434403.6490839,1100000,556.3724365234375
1752434410.0968692,1102500,561.3878784179688
1752434415.6800122,1105000,512.3258666992188
1752434428.087392,1110000,482.7561340332031
1752434433.0889125,1112500,516.8023071289062
1752434437.9359744,1115000,474.1136474609375
1752434444.585964,1117500,505.0625915527344
1752434465.325585,1127500,546.9588012695312
1752434471.0230973,1130000,571.2559814453125
1752434477.415681,1132500,566.69580078125
1752434482.3740501,1135000,669.122802734375
1752434488.1559873,1137500,596.7113037109375
1752434499.7214217,1142500,628.5983276367188
1752434511.2840307,1147500,627.001220703125
1752434522.1939433,1152500,699.2591552734375
1752434529.3291907,1155000,680.49755859375
1752434544.6776748,1162500,680.5648193359375
1752434549.0136287,1165000,708.8408203125
1752434553.9272976,1167500,665.2029418945312
1752434564.545145,1172500,688.0413818359375
1752434574.7584596,1177500,640.6785888671875
1752434598.5993671,1187500,658.6517333984375
1752434602.6484106,1190000,593.369140625
1752434617.5479813,1197500,620.8609619140625
1752434622.3646367,1200000,619.9325561523438
1752434628.6939094,1202500,655.2718505859375
1752434633.40368,1205000,716.2474365234375
1752434639.0897624,1207500,738.8331298828125
1752434644.7672777,1210000,706.5936279296875
1752434650.4743688,1212500,738.91748046875
1752434662.382881,1217500,717.5944213867188
1752434668.655493,1220000,734.4786376953125
1752434674.6696792,1222500,769.35888671875
1752434679.0110958,1225000,742.4932250976562
1752434691.196205,1230000,778.447021484375
1752434705.1070187,1237500,829.2322998046875
1752434726.5611749,1247500,809.41943359375
