Wall time,Step,Value
1752492664.1486027,200,-5.499156951904297
1752492664.3905654,400,-6.205495834350586
1752492664.6314392,600,-6.193836212158203
1752492664.868868,800,-6.747315883636475
1752492665.1055725,1000,-7.852778434753418
1752492666.1594536,1200,-5.828463077545166
1752492666.386556,1400,-7.895029544830322
1752492666.6189845,1600,-5.9332075119018555
1752492666.841738,1800,-6.281393051147461
1752492667.0878563,2000,-6.912339210510254
1752492667.9498005,2200,-6.008703708648682
1752492668.2040353,2400,-5.777968406677246
1752492668.4542127,2600,-6.673206806182861
1752492668.738245,2800,-5.347057342529297
1752492669.0039995,3000,-5.473149299621582
1752492669.778809,3200,-6.214456558227539
1752492670.0372603,3400,-5.020656108856201
1752492670.2927547,3600,-5.104046821594238
1752492670.5423796,3800,-5.227845191955566
1752492670.7871873,4000,-5.065952777862549
1752492671.6192803,4200,-4.755064487457275
1752492671.8567224,4400,-5.184232234954834
1752492672.0924773,4600,-5.196221351623535
1752492672.329917,4800,-5.316791534423828
1752492672.5713887,5000,-5.499382495880127
1752492673.4445653,5200,-5.2097086906433105
1752492673.6711192,5400,-4.977290630340576
1752492673.901207,5600,-4.359519004821777
1752492674.1351066,5800,-4.425294876098633
1752492674.3802733,6000,-4.4114909172058105
1752492675.1947794,6200,-4.623129367828369
1752492675.422929,6400,-4.482429504394531
1752492675.6504488,6600,-4.584071636199951
1752492675.903762,6800,-3.8356266021728516
1752492676.1244705,7000,-4.172085285186768
1752492676.8779693,7200,-3.3866848945617676
1752492677.3106594,7400,-3.737128734588623
1752492677.556586,7600,-3.779325485229492
1752492677.8074856,7800,-3.8592183589935303
1752492678.0545154,8000,-3.9085278511047363
1752492678.920543,8200,-3.4172117710113525
1752492679.157096,8400,-3.793057918548584
1752492679.397942,8600,-3.4305005073547363
1752492679.6338682,8800,-3.4978432655334473
1752492679.8851612,9000,-3.837430953979492
1752492680.1282847,9200,-2.7905354499816895
1752492680.9582965,9400,-3.4986438751220703
1752492681.1909995,9600,-3.004643440246582
1752492681.4344285,9800,-3.53470778465271
1752492681.6754425,10000,-3.0640392303466797
1752492681.9120352,10200,-2.75378680229187
1752492682.8048432,10400,-1.9493815898895264
1752492683.0513382,10600,-2.139052152633667
1752492683.2803252,10800,-1.3867602348327637
1752492683.515005,11000,-2.566640853881836
1752492683.7474918,11200,-2.170025110244751
1752492684.554945,11400,-1.8516055345535278
1752492684.7912226,11600,-1.594408392906189
1752492685.042547,11800,-1.4630494117736816
1752492685.3077734,12000,-1.64501953125
1752492685.5629673,12200,-1.8229156732559204
1752492686.3891244,12400,-1.1394692659378052
1752492686.6408682,12600,-1.7838501930236816
