Wall time,Step,Value
1752430472.6647823,3000,0.7982601523399353
1752430475.848193,6000,0.8867340683937073
1752430479.0120885,9000,0.894349992275238
1752430482.2437644,12000,0.9061189889907837
1752430485.4384649,15000,0.8877929449081421
1752430488.9617853,18000,0.8902759552001953
1752430492.2176225,21000,0.9197659492492676
1752430495.4559238,24000,0.9033432006835938
1752430498.582697,27000,0.8726412653923035
1752430501.812356,30000,0.8784476518630981
1752430505.0495248,33000,0.9034432768821716
1752430508.2541082,36000,0.8968226909637451
1752430511.8214362,39000,0.8903082013130188
1752430515.0345848,42000,0.9093878269195557
1752430518.234293,45000,0.8771310448646545
1752430521.4082496,48000,0.8806318044662476
1752430524.6480238,51000,0.9141700267791748
1752430527.824576,54000,0.8830009698867798
1752430531.4103577,57000,0.8700880408287048
1752430534.660421,60000,0.9020897150039673
1752430537.9701889,63000,0.8971309661865234
1752430541.1103241,66000,0.9267759919166565
1752430544.466244,69000,0.9157618284225464
1752430547.8658977,72000,0.8836953639984131
1752430551.2731254,75000,0.9101441502571106
1752430555.0739856,78000,0.8935732245445251
1752430558.497823,81000,0.9082686305046082
1752430561.926298,84000,0.9035367369651794
1752430565.280409,87000,0.9254336357116699
1752430568.6740396,90000,0.9172518849372864
1752430571.94447,93000,0.9045079350471497
1752430575.6114283,96000,0.9064746499061584
1752430578.9487805,99000,0.900780975818634
